id,name,parent_id,sequence,type,sign,style_overwrite,display_detail,account_ids,account_report_id,account_type_ids
account.account_financial_report_profitandloss0,利润表,,,View,Preserve balance sign,,Display children flat,,,
account.account_financial_report_balancesheet0,资产负债表,,,View,Preserve balance sign,,Display children flat,,,
account.account_financial_report_income0,一、主营业务收入,利润表,1,Accounts,Reverse balance sign,,No detail,6001,,
account.account_financial_report_expense0,补充收入,利润表,21,Accounts,Preserve balance sign,,No detail,,,
account.account_financial_report_assets0,资产,资产负债表,1,View,Preserve balance sign,,Display children with hierarchy,,,
account.account_financial_report_liabilitysum0,负债,资产负债表,2,View,Reverse balance sign,,No detail,,,
oecn_account_print.account_financial_report_46,所有者权益,资产负债表,3,View,Reverse balance sign,,Display children flat,,,
oecn_account_print.account_financial_report_9,货币资金,资产,1,Accounts,Preserve balance sign,,No detail,"1001,1002,1015",,
oecn_account_print.account_financial_report_10,短期投资,资产,2,Accounts,Preserve balance sign,,No detail,1101,,
oecn_account_print.account_financial_report_11,应收票据,资产,3,Accounts,Preserve balance sign,,No detail,1121,,
oecn_account_print.account_financial_report_12,应收股利,资产,4,Accounts,Preserve balance sign,,No detail,1131,,
oecn_account_print.account_financial_report_13,应收利息,资产,5,Accounts,Preserve balance sign,,No detail,1132,,
oecn_account_print.account_financial_report_14,应收账款,资产,6,Accounts,Preserve balance sign,,No detail,1122,,
oecn_account_print.account_financial_report_15,其他应收款,资产,7,Accounts,Preserve balance sign,,No detail,1231,,
oecn_account_print.account_financial_report_16,存货,资产,10,Accounts,Preserve balance sign,,No detail,"1401,1402,1403,1404,1406,1407,1410,1411,1412,1461",,
oecn_account_print.account_financial_report_17,待摊费用,资产,11,Accounts,Preserve balance sign,,No detail,1501,,
oecn_account_print.account_financial_report_18,一年内到期的长期债权投资,资产,21,Accounts,Preserve balance sign,,No detail,1521,,
oecn_account_print.account_financial_report_19,长期股权投资,资产,32,Accounts,Preserve balance sign,,No detail,1524,,
oecn_account_print.account_financial_report_20,长期债权投资,资产,34,Accounts,Preserve balance sign,,No detail,1531,,
oecn_account_print.account_financial_report_21,固定资产原值,资产,39,Accounts,Preserve balance sign,,No detail,1601,,
oecn_account_print.account_financial_report_22,累计折旧,资产,40,Accounts,Preserve balance sign,,No detail,1602,,
oecn_account_print.account_financial_report_23,固定资产减值准备,资产,42,Accounts,Preserve balance sign,,No detail,1603,,
oecn_account_print.account_financial_report_24,工程物资,资产,44,Accounts,Preserve balance sign,,No detail,1605,,
oecn_account_print.account_financial_report_25,在建工程,资产,45,Accounts,Preserve balance sign,,No detail,1604,,
oecn_account_print.account_financial_report_26,固定资产清理,资产,46,Accounts,Preserve balance sign,,No detail,1606,,
oecn_account_print.account_financial_report_27,无形资产,资产,51,Accounts,Preserve balance sign,,No detail,1701,,
oecn_account_print.account_financial_report_28,长期待摊费用,资产,52,Accounts,Preserve balance sign,,No detail,1801,,
oecn_account_print.account_financial_report_29,递延税款借项,资产,61,Accounts,Preserve balance sign,,No detail,1811,,
oecn_account_print.account_financial_report_30,短期借款,负债,68,Accounts,Reverse balance sign,,No detail,2001,,
oecn_account_print.account_financial_report_31,应付票据,负债,69,Accounts,Reverse balance sign,,No detail,2201,,
oecn_account_print.account_financial_report_32,应付账款,负债,70,Accounts,Reverse balance sign,,No detail,2202,,
oecn_account_print.account_financial_report_33,预收账款,负债,71,Accounts,Reverse balance sign,,No detail,2205,,
oecn_account_print.account_financial_report_34,应付工资,负债,72,Accounts,Reverse balance sign,,No detail,2211,,
oecn_account_print.account_financial_report_35,应付股利,负债,74,Accounts,Reverse balance sign,,No detail,2231,,
oecn_account_print.account_financial_report_36,应交税金,负债,75,Accounts,Reverse balance sign,,No detail,2221,,
oecn_account_print.account_financial_report_37,预提费用,负债,82,Accounts,Reverse balance sign,,No detail,2401,,
oecn_account_print.account_financial_report_38,长期借款,负债,101,Accounts,Reverse balance sign,,No detail,2601,,
oecn_account_print.account_financial_report_39,应付债券,负债,102,Accounts,Reverse balance sign,,No detail,2602,,
oecn_account_print.account_financial_report_40,长期应付款,负债,103,Accounts,Reverse balance sign,,No detail,2801,,
oecn_account_print.account_financial_report_42,实收资本,所有者权益,115,Accounts,Reverse balance sign,,No detail,4001,,
oecn_account_print.account_financial_report_43,资本公积,所有者权益,118,Accounts,Reverse balance sign,,No detail,4002,,
oecn_account_print.account_financial_report_44,盈余公积,所有者权益,119,Accounts,Reverse balance sign,,No detail,4101,,
oecn_account_print.account_financial_report_45,未分配利润,所有者权益,121,Accounts,Reverse balance sign,,No detail,4104,,
oecn_account_print.account_financial_report_47,减：主营业务成本,利润表,3,Accounts,Preserve balance sign,,No detail,6401,,
oecn_account_print.account_financial_report_48,主营业务税金及附加,利润表,5,Accounts,Preserve balance sign,,No detail,6405,,
oecn_account_print.account_financial_report_49,二、主营业务利润（亏损以“－”号填列）    ,利润表,7,Accounts,Reverse balance sign,,No detail,"6001,6401,6405",,
